observed_on,url,image_url,latitude,longitude,positional_accuracy,public_positional_accuracy,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2023-04-30,https://www.inaturalist.org/observations/157973033,https://inaturalist-open-data.s3.amazonaws.com/photos/274335445/medium.jpeg,33.0850524902,-97.0357513428,53,53,Pinkladies,Oenothera speciosa,Pinkladies,Plantae,48625
2023-04-30,https://www.inaturalist.org/observations/157973266,https://inaturalist-open-data.s3.amazonaws.com/photos/273076502/medium.jpeg,33.0856628418,-97.0369567871,86,86,Texas Paintbrush,Castilleja indivisa,Texas Paintbrush,Plantae,123956
2023-04-30,https://www.inaturalist.org/observations/157973659,https://inaturalist-open-data.s3.amazonaws.com/photos/274335437/medium.jpeg,33.0852355957,-97.0330047607,175,175,Indian blanket,Gaillardia pulchella,Indian blanket,Plantae,51768
2023-04-30,https://www.inaturalist.org/observations/157981045,https://inaturalist-open-data.s3.amazonaws.com/photos/273087993/medium.jpg,24.4127833333,-106.768325,4,4,Amole,Bonellia macrocarpa,cudjoewood,Plantae,281781
2023-04-30,https://www.inaturalist.org/observations/157986130,https://static.inaturalist.org/photos/273095924/medium.jpeg,24.4153477717,-106.6938673239,7,7,Cardo santo,Argemone ochroleuca,Mexican Poppy,Plantae,199511
2023-04-30,https://www.inaturalist.org/observations/157989171,https://inaturalist-open-data.s3.amazonaws.com/photos/273100883/medium.jpg,25.7626600774,-100.2555671063,22,22,Girasol,Helianthus annuus,Common Sunflower,Plantae,57983
2023-04-30,https://www.inaturalist.org/observations/157997045,https://inaturalist-open-data.s3.amazonaws.com/photos/273115005/medium.jpg,24.37457,-106.7000416667,18,18,Guamúchil,Pithecellobium dulce,Guamúchil,Plantae,166920
2023-04-30,https://www.inaturalist.org/observations/157997272,https://inaturalist-open-data.s3.amazonaws.com/photos/273115439/medium.jpg,24.37487,-106.701195,10,10,Guamúchil,Pithecellobium dulce,Guamúchil,Plantae,166920
2023-04-30,https://www.inaturalist.org/observations/157999932,https://inaturalist-open-data.s3.amazonaws.com/photos/273118212/medium.jpg,24.375025,-106.7012333333,4,4,Guamúchil,Pithecellobium dulce,Guamúchil,Plantae,166920
2023-04-30,https://www.inaturalist.org/observations/158002496,https://inaturalist-open-data.s3.amazonaws.com/photos/273121993/medium.jpeg,35.467675,-82.6288416667,,,sassafras,Sassafras albidum,sassafras,Plantae,54795
2023-04-30,https://www.inaturalist.org/observations/158030082,https://inaturalist-open-data.s3.amazonaws.com/photos/273163982/medium.jpeg,44.225397,-76.756522,,,Будра плющевидная,Glechoma hederacea,ground-ivy,Plantae,55830
2023-04-30,https://www.inaturalist.org/observations/158030375,https://static.inaturalist.org/photos/273164391/medium.jpeg,44.3431222222,-79.7365333333,,,bigtooth aspen,Populus grandidentata,bigtooth aspen,Plantae,54839
2023-04-30,https://www.inaturalist.org/observations/158030575,https://static.inaturalist.org/photos/273164770/medium.jpg,40.8862802439,-73.9175883854,4,4,garlic mustard,Alliaria petiolata,garlic mustard,Plantae,56061
2023-04-30,https://www.inaturalist.org/observations/158030898,https://static.inaturalist.org/photos/273165246/medium.jpeg,44.3429486848,-79.7363572368,4,4,rough horsetail,Equisetum hyemale,rough horsetail,Plantae,52673
2023-04-30,https://www.inaturalist.org/observations/158030917,https://inaturalist-open-data.s3.amazonaws.com/photos/273165278/medium.jpg,44.6981002967,-73.0153611205,4,4,Canada mayflower,Maianthemum canadense,Canada mayflower,Plantae,67748
2023-04-30,https://www.inaturalist.org/observations/158030997,https://static.inaturalist.org/photos/273165572/medium.jpg,40.8863140969,-73.9175159019,6,6,common hackberry,Celtis occidentalis,common hackberry,Plantae,54857
2023-04-30,https://www.inaturalist.org/observations/158031093,https://inaturalist-open-data.s3.amazonaws.com/photos/273165570/medium.jpg,40.0709991477,-75.0667553477,4,4,Amur honeysuckle,Lonicera maackii,Amur honeysuckle,Plantae,82342
2023-04-30,https://www.inaturalist.org/observations/158031113,https://static.inaturalist.org/photos/273165619/medium.jpeg,44.3429149448,-79.7363198939,4,4,eastern poison ivy,Toxicodendron radicans,eastern poison ivy,Plantae,58732
2023-04-30,https://www.inaturalist.org/observations/158032648,https://inaturalist-open-data.s3.amazonaws.com/photos/273167759/medium.jpg,40.9056596773,-73.9013390966,16,16,red deadnettle,Lamium purpureum,red deadnettle,Plantae,55851
2023-04-30,https://www.inaturalist.org/observations/158032931,https://static.inaturalist.org/photos/273168066/medium.jpeg,44.342644524,-79.7363829448,4,4,white spruce,Picea glauca,white spruce,Plantae,117326
2023-04-30,https://www.inaturalist.org/observations/158033125,https://static.inaturalist.org/photos/273171633/medium.jpg,39.0346535342,-77.0092547313,9,9,chestnut oak,Quercus montana,chestnut oak,Plantae,128686
2023-04-30,https://www.inaturalist.org/observations/158033480,https://static.inaturalist.org/photos/273168875/medium.jpeg,44.3425002136,-79.7364025309,4,4,marsh marigold,Caltha palustris,marsh marigold,Plantae,56224
2023-04-30,https://www.inaturalist.org/observations/158033726,https://static.inaturalist.org/photos/273182191/medium.jpg,40.8866182669,-73.9181852001,172,172,lesser celandine,Ficaria verna,lesser celandine,Plantae,204321
2023-04-30,https://www.inaturalist.org/observations/158034865,https://inaturalist-open-data.s3.amazonaws.com/photos/273170960/medium.jpg,25.3924991723,-76.558304898,89,89,Mexican prickly poppy,Argemone mexicana,Mexican prickly poppy,Plantae,128533
2023-04-30,https://www.inaturalist.org/observations/158034917,https://static.inaturalist.org/photos/273171037/medium.jpeg,44.3424689722,-79.7362244785,4,4,broad-leaved dock,Rumex obtusifolius,broad-leaved dock,Plantae,63371
2023-04-30,https://www.inaturalist.org/observations/158034975,https://inaturalist-open-data.s3.amazonaws.com/photos/273171205/medium.jpg,40.8903392416,-73.8919835731,88,88,Чистяк весенний,Ficaria verna,lesser celandine,Plantae,204321
2023-04-30,https://www.inaturalist.org/observations/158035110,https://inaturalist-open-data.s3.amazonaws.com/photos/273171381/medium.jpg,40.8904775032,-73.8918188529,35,35,Чесночница черешчатая,Alliaria petiolata,garlic mustard,Plantae,56061
2023-04-30,https://www.inaturalist.org/observations/158036146,https://inaturalist-open-data.s3.amazonaws.com/photos/273173135/medium.jpg,40.8908608541,-73.8911981038,57,57,American jumpseed,Persicaria virginiana,American jumpseed,Plantae,144047
2023-04-30,https://www.inaturalist.org/observations/158036249,https://inaturalist-open-data.s3.amazonaws.com/photos/273173385/medium.jpg,25.1045571361,-80.4336492532,4,4,Gumbo Limbo,Bursera simaruba,Gumbo Limbo,Plantae,130734
2023-04-30,https://www.inaturalist.org/observations/158036890,https://inaturalist-open-data.s3.amazonaws.com/photos/273174167/medium.jpg,40.8910196811,-73.8909992605,11,11,Japanese pachysandra,Pachysandra terminalis,Japanese pachysandra,Plantae,142928
2023-04-30,https://www.inaturalist.org/observations/158037034,https://inaturalist-open-data.s3.amazonaws.com/photos/273174356/medium.jpg,40.891157865,-73.8908120866,35,35,Чесночница черешчатая,Alliaria petiolata,garlic mustard,Plantae,56061
2023-04-30,https://www.inaturalist.org/observations/158037065,https://inaturalist-open-data.s3.amazonaws.com/photos/273174405/medium.jpg,40.8911926031,-73.8908221064,7,7,American jumpseed,Persicaria virginiana,American jumpseed,Plantae,144047
2023-04-30,https://www.inaturalist.org/observations/158037069,https://inaturalist-open-data.s3.amazonaws.com/photos/273174419/medium.jpg,25.1044818247,-80.4337287136,7,7,Jamaican dogwood,Piscidia piscipula,Jamaican dogwood,Plantae,131579
2023-04-30,https://www.inaturalist.org/observations/158037503,https://inaturalist-open-data.s3.amazonaws.com/photos/273176084/medium.jpg,42.1121125295,-80.1459854356,4,4,star-flowered lily-of-the-valley,Maianthemum stellatum,star-flowered lily-of-the-valley,Plantae,53268
2023-04-30,https://www.inaturalist.org/observations/158037831,https://static.inaturalist.org/photos/273175463/medium.jpeg,44.3423777778,-79.7361555556,,,sensitive fern,Onoclea sensibilis,sensitive fern,Plantae,82576
2023-04-30,https://www.inaturalist.org/observations/158038280,https://inaturalist-open-data.s3.amazonaws.com/photos/273176532/medium.jpg,42.1131306792,-80.1451864719,4,4,large white trillium,Trillium grandiflorum,large white trillium,Plantae,55402
2023-04-30,https://www.inaturalist.org/observations/158039015,https://inaturalist-open-data.s3.amazonaws.com/photos/273177809/medium.jpg,42.1133314528,-80.1452932854,4,4,red trillium,Trillium erectum,red trillium,Plantae,50855
2023-04-30,https://www.inaturalist.org/observations/158039140,https://inaturalist-open-data.s3.amazonaws.com/photos/273177491/medium.jpg,25.7113135932,-80.4193977547,9,9,Santa Maria feverfew,Parthenium hysterophorus,Santa Maria feverfew,Plantae,126424
2023-04-30,https://www.inaturalist.org/observations/158039202,https://static.inaturalist.org/photos/273177562/medium.jpeg,44.3423502954,-79.7360628803,5,5,eastern white pine,Pinus strobus,eastern white pine,Plantae,52391
2023-04-30,https://www.inaturalist.org/observations/158039207,https://static.inaturalist.org/photos/273177664/medium.jpg,40.8866105648,-73.9187136759,7,7,ostrich fern,Matteuccia struthiopteris,ostrich fern,Plantae,82574
2023-04-30,https://www.inaturalist.org/observations/158039376,https://inaturalist-open-data.s3.amazonaws.com/photos/273182077/medium.jpg,42.1137980254,-80.1461039793,4,4,Virginia waterleaf,Hydrophyllum virginianum,Virginia waterleaf,Plantae,81711
2023-04-30,https://www.inaturalist.org/observations/158039493,https://inaturalist-open-data.s3.amazonaws.com/photos/273178063/medium.jpeg,38.90817107,-77.11647541,5,5,tulip tree,Liriodendron tulipifera,tulip tree,Plantae,53582
2023-04-30,https://www.inaturalist.org/observations/158039511,https://inaturalist-open-data.s3.amazonaws.com/photos/273178106/medium.jpeg,38.907907,-77.1163338,31,31,Amerikanische Kermesbeere,Phytolacca americana,American pokeweed,Plantae,48599
2023-04-30,https://www.inaturalist.org/observations/158039615,https://inaturalist-open-data.s3.amazonaws.com/photos/273178245/medium.jpeg,38.9080066,-77.1162172,33,33,carpet bugle,Ajuga reptans,carpet bugle,Plantae,56099
2023-04-30,https://www.inaturalist.org/observations/158039666,https://inaturalist-open-data.s3.amazonaws.com/photos/273178320/medium.jpg,25.1045188308,-80.433976818,9,9,muscadine,Vitis rotundifolia,muscadine,Plantae,82529
2023-04-30,https://www.inaturalist.org/observations/158039668,https://inaturalist-open-data.s3.amazonaws.com/photos/273178316/medium.jpg,25.7114877692,-80.4194654804,3,3,artillery plant,Pilea microphylla,artillery plant,Plantae,69172
2023-04-30,https://www.inaturalist.org/observations/158039719,https://inaturalist-open-data.s3.amazonaws.com/photos/273178406/medium.jpeg,38.9080261,-77.1162991,34,34,fortune's spindle,Euonymus fortunei,fortune's spindle,Plantae,130893
2023-04-30,https://www.inaturalist.org/observations/158039829,https://inaturalist-open-data.s3.amazonaws.com/photos/273178588/medium.jpg,25.1045446052,-80.4339194857,5,5,Brazilian pepper,Schinus terebinthifolia,Brazilian pepper,Plantae,130872
